ANOMALY REPORT
======================================================================

── PARTIAL_TIMEOUT  (436) ──
    z3 is 53× faster (ostrich=17238ms, z3=326ms)
  [cJSON/mixed/sat]  symcc-assertions-15.smt2
    z3 is 131× faster (z3=326ms, noodler=42702ms)
  [cJSON/mixed/sat]  symcc-assertions-16.smt2
    cvc5 is 32× faster (cvc5=71ms, ostrich=2242ms)
  [cJSON/mixed/sat]  symcc-assertions-16.smt2
    z3 is 224× faster (ostrich=2242ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-16.smt2
    noodler is 13× faster (ostrich=2242ms, noodler=170ms)
  [cJSON/mixed/sat]  symcc-assertions-16.smt2
    z3 is 17× faster (z3=10ms, noodler=170ms)
  [cJSON/mixed/sat]  symcc-assertions-17.smt2
    cvc5 is 82× faster (cvc5=105ms, ostrich=8608ms)
  [cJSON/mixed/sat]  symcc-assertions-17.smt2
    cvc5 is 288× faster (cvc5=105ms, noodler=30271ms)
  [cJSON/mixed/sat]  symcc-assertions-17.smt2
    z3 is 19× faster (ostrich=8608ms, z3=447ms)
  [cJSON/mixed/sat]  symcc-assertions-17.smt2
    z3 is 68× faster (z3=447ms, noodler=30271ms)
  [cJSON/mixed/sat]  symcc-assertions-18.smt2
    cvc5 is 66× faster (cvc5=138ms, ostrich=9113ms)
  [cJSON/mixed/sat]  symcc-assertions-18.smt2
    cvc5 is 14× faster (cvc5=138ms, z3=1939ms)
  [cJSON/mixed/sat]  symcc-assertions-19.smt2
    cvc5 is 43× faster (cvc5=66ms, ostrich=2864ms)
  [cJSON/mixed/sat]  symcc-assertions-19.smt2
    z3 is 286× faster (ostrich=2864ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-19.smt2
    noodler is 18× faster (ostrich=2864ms, noodler=160ms)
  [cJSON/mixed/sat]  symcc-assertions-19.smt2
    z3 is 16× faster (z3=10ms, noodler=160ms)
  [cJSON/mixed/sat]  symcc-assertions-2.smt2
    cvc5 is 162× faster (cvc5=80ms, ostrich=12942ms)
  [cJSON/mixed/sat]  symcc-assertions-2.smt2
    z3 is 152× faster (ostrich=12942ms, z3=85ms)
  [cJSON/mixed/sat]  symcc-assertions-2.smt2
    noodler is 67× faster (ostrich=12942ms, noodler=192ms)
  [cJSON/mixed/sat]  symcc-assertions-20.smt2
    cvc5 is 83× faster (cvc5=66ms, ostrich=5499ms)
  [cJSON/mixed/sat]  symcc-assertions-20.smt2
    z3 is 550× faster (ostrich=5499ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-20.smt2
    noodler is 34× faster (ostrich=5499ms, noodler=163ms)
  [cJSON/mixed/sat]  symcc-assertions-20.smt2
    z3 is 16× faster (z3=10ms, noodler=163ms)
  [cJSON/mixed/sat]  symcc-assertions-21.smt2
    cvc5 is 135× faster (cvc5=288ms, ostrich=38970ms)
  [cJSON/mixed/sat]  symcc-assertions-21.smt2
    z3 is 49× faster (ostrich=38970ms, z3=796ms)
  [cJSON/mixed/sat]  symcc-assertions-22.smt2
    cvc5 is 89× faster (cvc5=67ms, ostrich=5948ms)
  [cJSON/mixed/sat]  symcc-assertions-22.smt2
    z3 is 595× faster (ostrich=5948ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-22.smt2
    noodler is 42× faster (ostrich=5948ms, noodler=141ms)
  [cJSON/mixed/sat]  symcc-assertions-22.smt2
    z3 is 14× faster (z3=10ms, noodler=141ms)
  [cJSON/mixed/sat]  symcc-assertions-23.smt2
    cvc5 is 163× faster (cvc5=129ms, ostrich=21034ms)
  [cJSON/mixed/sat]  symcc-assertions-23.smt2
    cvc5 is 470× faster (cvc5=129ms, noodler=60617ms)
  [cJSON/mixed/sat]  symcc-assertions-23.smt2
    z3 is 17× faster (ostrich=21034ms, z3=1245ms)
  [cJSON/mixed/sat]  symcc-assertions-23.smt2
    z3 is 49× faster (z3=1245ms, noodler=60617ms)
  [cJSON/mixed/sat]  symcc-assertions-24.smt2
    cvc5 is 102× faster (cvc5=174ms, ostrich=17759ms)
  [cJSON/mixed/sat]  symcc-assertions-24.smt2
    cvc5 is 10× faster (cvc5=174ms, z3=1767ms)
  [cJSON/mixed/sat]  symcc-assertions-24.smt2
    z3 is 10× faster (ostrich=17759ms, z3=1767ms)
  [cJSON/mixed/sat]  symcc-assertions-25.smt2
    cvc5 is 87× faster (cvc5=68ms, ostrich=5939ms)
  [cJSON/mixed/sat]  symcc-assertions-25.smt2
    z3 is 371× faster (ostrich=5939ms, z3=16ms)
  [cJSON/mixed/sat]  symcc-assertions-25.smt2
    noodler is 34× faster (ostrich=5939ms, noodler=175ms)
  [cJSON/mixed/sat]  symcc-assertions-25.smt2
    z3 is 11× faster (z3=16ms, noodler=175ms)
  [cJSON/mixed/sat]  symcc-assertions-26.smt2
    cvc5 is 97× faster (cvc5=71ms, ostrich=6882ms)
  [cJSON/mixed/sat]  symcc-assertions-26.smt2
    z3 is 405× faster (ostrich=6882ms, z3=17ms)
  [cJSON/mixed/sat]  symcc-assertions-26.smt2
    noodler is 45× faster (ostrich=6882ms, noodler=153ms)
  [cJSON/mixed/sat]  symcc-assertions-27.smt2
    cvc5 is 177× faster (cvc5=68ms, ostrich=12037ms)
  [cJSON/mixed/sat]  symcc-assertions-27.smt2
    z3 is 860× faster (ostrich=12037ms, z3=14ms)
  [cJSON/mixed/sat]  symcc-assertions-27.smt2
    noodler is 82× faster (ostrich=12037ms, noodler=147ms)
  [cJSON/mixed/sat]  symcc-assertions-27.smt2
    z3 is 10× faster (z3=14ms, noodler=147ms)
  [cJSON/mixed/sat]  symcc-assertions-28.smt2
    cvc5 is 60× faster (cvc5=66ms, ostrich=3989ms)
  [cJSON/mixed/sat]  symcc-assertions-28.smt2
    z3 is 285× faster (ostrich=3989ms, z3=14ms)
  [cJSON/mixed/sat]  symcc-assertions-28.smt2
    noodler is 28× faster (ostrich=3989ms, noodler=141ms)
  [cJSON/mixed/sat]  symcc-assertions-28.smt2
    z3 is 10× faster (z3=14ms, noodler=141ms)
  [cJSON/mixed/sat]  symcc-assertions-29.smt2
    cvc5 is 135× faster (cvc5=66ms, ostrich=8903ms)
  [cJSON/mixed/sat]  symcc-assertions-29.smt2
    z3 is 636× faster (ostrich=8903ms, z3=14ms)
  [cJSON/mixed/sat]  symcc-assertions-29.smt2
    noodler is 57× faster (ostrich=8903ms, noodler=157ms)
  [cJSON/mixed/sat]  symcc-assertions-29.smt2
    z3 is 11× faster (z3=14ms, noodler=157ms)
  [cJSON/mixed/sat]  symcc-assertions-3.smt2
    cvc5 is 189× faster (cvc5=82ms, ostrich=15531ms)
  [cJSON/mixed/sat]  symcc-assertions-3.smt2
    z3 is 1294× faster (ostrich=15531ms, z3=12ms)
  [cJSON/mixed/sat]  symcc-assertions-3.smt2
    noodler is 104× faster (ostrich=15531ms, noodler=149ms)
  [cJSON/mixed/sat]  symcc-assertions-3.smt2
    z3 is 12× faster (z3=12ms, noodler=149ms)
  [cJSON/mixed/sat]  symcc-assertions-30.smt2
    cvc5 is 19× faster (cvc5=439ms, ostrich=8137ms)
  [cJSON/mixed/sat]  symcc-assertions-31.smt2
    cvc5 is 109× faster (cvc5=68ms, ostrich=7443ms)
  [cJSON/mixed/sat]  symcc-assertions-31.smt2
    z3 is 573× faster (ostrich=7443ms, z3=13ms)
  [cJSON/mixed/sat]  symcc-assertions-31.smt2
    noodler is 39× faster (ostrich=7443ms, noodler=190ms)
  [cJSON/mixed/sat]  symcc-assertions-31.smt2
    z3 is 15× faster (z3=13ms, noodler=190ms)
  [cJSON/mixed/sat]  symcc-assertions-32.smt2
    cvc5 is 94× faster (cvc5=65ms, ostrich=6097ms)
  [cJSON/mixed/sat]  symcc-assertions-32.smt2
    z3 is 610× faster (ostrich=6097ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-32.smt2
    noodler is 43× faster (ostrich=6097ms, noodler=142ms)
  [cJSON/mixed/sat]  symcc-assertions-32.smt2
    z3 is 14× faster (z3=10ms, noodler=142ms)
  [cJSON/mixed/sat]  symcc-assertions-33.smt2
    cvc5 is 152× faster (cvc5=256ms, ostrich=38872ms)
  [cJSON/mixed/sat]  symcc-assertions-33.smt2
    z3 is 22× faster (ostrich=38872ms, z3=1779ms)
  [cJSON/mixed/sat]  symcc-assertions-34.smt2
    cvc5 is 101× faster (cvc5=78ms, ostrich=7896ms)
  [cJSON/mixed/sat]  symcc-assertions-34.smt2
    z3 is 658× faster (ostrich=7896ms, z3=12ms)
  [cJSON/mixed/sat]  symcc-assertions-34.smt2
    noodler is 50× faster (ostrich=7896ms, noodler=159ms)
  [cJSON/mixed/sat]  symcc-assertions-34.smt2
    z3 is 13× faster (z3=12ms, noodler=159ms)
  [cJSON/mixed/sat]  symcc-assertions-35.smt2
    cvc5 is 162× faster (cvc5=292ms, ostrich=47285ms)
  [cJSON/mixed/sat]  symcc-assertions-35.smt2
    z3 is 29× faster (ostrich=47285ms, z3=1620ms)
  [cJSON/mixed/sat]  symcc-assertions-38.smt2
    cvc5 is 105× faster (cvc5=74ms, ostrich=7799ms)
  [cJSON/mixed/sat]  symcc-assertions-38.smt2
    z3 is 557× faster (ostrich=7799ms, z3=14ms)
  [cJSON/mixed/sat]  symcc-assertions-38.smt2
    noodler is 57× faster (ostrich=7799ms, noodler=138ms)
  [cJSON/mixed/sat]  symcc-assertions-39.smt2
    cvc5 is 186× faster (cvc5=281ms, ostrich=52381ms)
  [cJSON/mixed/sat]  symcc-assertions-39.smt2
    z3 is 45× faster (ostrich=52381ms, z3=1173ms)
  [cJSON/mixed/sat]  symcc-assertions-4.smt2
    cvc5 is 147× faster (cvc5=97ms, ostrich=14306ms)
  [cJSON/mixed/sat]  symcc-assertions-4.smt2
    z3 is 235× faster (ostrich=14306ms, z3=61ms)
  [cJSON/mixed/sat]  symcc-assertions-4.smt2
    noodler is 30× faster (ostrich=14306ms, noodler=479ms)
  [cJSON/mixed/sat]  symcc-assertions-40.smt2
    cvc5 is 114× faster (cvc5=76ms, ostrich=8652ms)
  [cJSON/mixed/sat]  symcc-assertions-40.smt2
    z3 is 865× faster (ostrich=8652ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-40.smt2
    noodler is 54× faster (ostrich=8652ms, noodler=160ms)
  [cJSON/mixed/sat]  symcc-assertions-40.smt2
    z3 is 16× faster (z3=10ms, noodler=160ms)
  [cJSON/mixed/sat]  symcc-assertions-41.smt2
    cvc5 is 168× faster (cvc5=205ms, ostrich=34476ms)
  [cJSON/mixed/sat]  symcc-assertions-41.smt2
    z3 is 33× faster (ostrich=34476ms, z3=1059ms)
  [cJSON/mixed/sat]  symcc-assertions-42.smt2
    cvc5 is 66× faster (cvc5=67ms, ostrich=4389ms)
  [cJSON/mixed/sat]  symcc-assertions-42.smt2
    z3 is 439× faster (ostrich=4389ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-42.smt2
    noodler is 32× faster (ostrich=4389ms, noodler=139ms)
  [cJSON/mixed/sat]  symcc-assertions-42.smt2
    z3 is 14× faster (z3=10ms, noodler=139ms)
  [cJSON/mixed/sat]  symcc-assertions-5.smt2
    cvc5 is 199× faster (cvc5=127ms, ostrich=25212ms)
  [cJSON/mixed/sat]  symcc-assertions-5.smt2
    z3 is 169× faster (ostrich=25212ms, z3=149ms)
  [cJSON/mixed/sat]  symcc-assertions-5.smt2
    noodler is 49× faster (ostrich=25212ms, noodler=513ms)
  [cJSON/mixed/sat]  symcc-assertions-6.smt2
    cvc5 is 50× faster (cvc5=67ms, ostrich=3370ms)
  [cJSON/mixed/sat]  symcc-assertions-6.smt2
    z3 is 337× faster (ostrich=3370ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-6.smt2
    noodler is 23× faster (ostrich=3370ms, noodler=148ms)
  [cJSON/mixed/sat]  symcc-assertions-6.smt2
    z3 is 15× faster (z3=10ms, noodler=148ms)
  [cJSON/mixed/sat]  symcc-assertions-7.smt2
    cvc5 is 182× faster (cvc5=89ms, ostrich=16231ms)
  [cJSON/mixed/sat]  symcc-assertions-7.smt2
    cvc5 is 11× faster (cvc5=89ms, noodler=968ms)
  [cJSON/mixed/sat]  symcc-assertions-7.smt2
    z3 is 198× faster (ostrich=16231ms, z3=82ms)
  [cJSON/mixed/sat]  symcc-assertions-7.smt2
    noodler is 17× faster (ostrich=16231ms, noodler=968ms)
  [cJSON/mixed/sat]  symcc-assertions-7.smt2
    z3 is 12× faster (z3=82ms, noodler=968ms)
  [cJSON/mixed/sat]  symcc-assertions-8.smt2
    cvc5 is 468× faster (cvc5=99ms, ostrich=46285ms)
  [cJSON/mixed/sat]  symcc-assertions-8.smt2
    z3 is 133× faster (ostrich=46285ms, z3=348ms)
  [cJSON/mixed/sat]  symcc-assertions-9.smt2
    cvc5 is 75× faster (cvc5=66ms, ostrich=4978ms)
  [cJSON/mixed/sat]  symcc-assertions-9.smt2
    z3 is 498× faster (ostrich=4978ms, z3=10ms)
  [cJSON/mixed/sat]  symcc-assertions-9.smt2
    noodler is 33× faster (ostrich=4978ms, noodler=149ms)
  [cJSON/mixed/sat]  symcc-assertions-9.smt2
    z3 is 15× faster (z3=10ms, noodler=149ms)
  [cJSON/mixed/unsat]  symcc-unsat-0.smt2
    cvc5 is 54× faster (cvc5=67ms, ostrich=3643ms)
  [cJSON/mixed/unsat]  symcc-unsat-0.smt2
    z3 is 101× faster (ostrich=3643ms, z3=36ms)
  [cJSON/mixed/unsat]  symcc-unsat-0.smt2
    noodler is 25× faster (ostrich=3643ms, noodler=148ms)
  [cJSON/mixed/unsat]  symcc-unsat-1.smt2
    cvc5 is 138× faster (cvc5=75ms, ostrich=10321ms)
  [cJSON/mixed/unsat]  symcc-unsat-1.smt2
    z3 is 123× faster (ostrich=10321ms, z3=84ms)
  [cJSON/mixed/unsat]  symcc-unsat-1.smt2
    noodler is 58× faster (ostrich=10321ms, noodler=178ms)
  [cJSON/mixed/unsat]  symcc-unsat-10.smt2
    cvc5 is 183× faster (cvc5=218ms, ostrich=39830ms)
  [cJSON/mixed/unsat]  symcc-unsat-10.smt2
    z3 is 125× faster (ostrich=39830ms, z3=318ms)
  [cJSON/mixed/unsat]  symcc-unsat-11.smt2
    cvc5 is 250× faster (cvc5=231ms, ostrich=57865ms)
  [cJSON/mixed/unsat]  symcc-unsat-11.smt2
    z3 is 182× faster (ostrich=57865ms, z3=318ms)
  [cJSON/mixed/unsat]  symcc-unsat-12.smt2
    cvc5 is 191× faster (cvc5=121ms, ostrich=23150ms)
  [cJSON/mixed/unsat]  symcc-unsat-12.smt2
    cvc5 is 2478× faster (cvc5=121ms, noodler=299789ms)
  [cJSON/mixed/unsat]  symcc-unsat-12.smt2
    z3 is 36× faster (ostrich=23150ms, z3=648ms)
  [cJSON/mixed/unsat]  symcc-unsat-12.smt2
    ostrich is 13× faster (ostrich=23150ms, noodler=299789ms)
  [cJSON/mixed/unsat]  symcc-unsat-12.smt2
    z3 is 463× faster (z3=648ms, noodler=299789ms)
  [cJSON/mixed/unsat]  symcc-unsat-13.smt2
    cvc5 is 152× faster (cvc5=117ms, ostrich=17784ms)
  [cJSON/mixed/unsat]  symcc-unsat-13.smt2
    cvc5 is 2545× faster (cvc5=117ms, noodler=297820ms)
  [cJSON/mixed/unsat]  symcc-unsat-13.smt2
    z3 is 29× faster (ostrich=17784ms, z3=611ms)
  [cJSON/mixed/unsat]  symcc-unsat-13.smt2
    ostrich is 17× faster (ostrich=17784ms, noodler=297820ms)
  [cJSON/mixed/unsat]  symcc-unsat-13.smt2
    z3 is 487× faster (z3=611ms, noodler=297820ms)
  [cJSON/mixed/unsat]  symcc-unsat-14.smt2
    cvc5 is 144× faster (cvc5=113ms, ostrich=16276ms)
  [cJSON/mixed/unsat]  symcc-unsat-14.smt2
    cvc5 is 1162× faster (cvc5=113ms, noodler=131346ms)
  [cJSON/mixed/unsat]  symcc-unsat-14.smt2
    z3 is 38× faster (ostrich=16276ms, z3=429ms)
  [cJSON/mixed/unsat]  symcc-unsat-14.smt2
    z3 is 306× faster (z3=429ms, noodler=131346ms)
  [cJSON/mixed/unsat]  symcc-unsat-15.smt2
    cvc5 is 274× faster (cvc5=128ms, ostrich=35114ms)
  [cJSON/mixed/unsat]  symcc-unsat-15.smt2
    cvc5 is 1302× faster (cvc5=128ms, noodler=166609ms)
  [cJSON/mixed/unsat]  symcc-unsat-15.smt2
    z3 is 69× faster (ostrich=35114ms, z3=507ms)
  [cJSON/mixed/unsat]  symcc-unsat-15.smt2
    z3 is 329× faster (z3=507ms, noodler=166609ms)
  [cJSON/mixed/unsat]  symcc-unsat-16.smt2
    cvc5 is 226× faster (cvc5=126ms, ostrich=28493ms)
  [cJSON/mixed/unsat]  symcc-unsat-16.smt2
    cvc5 is 1306× faster (cvc5=126ms, noodler=164516ms)
  [cJSON/mixed/unsat]  symcc-unsat-16.smt2
    z3 is 57× faster (ostrich=28493ms, z3=502ms)
  [cJSON/mixed/unsat]  symcc-unsat-16.smt2
    z3 is 328× faster (z3=502ms, noodler=164516ms)
  [cJSON/mixed/unsat]  symcc-unsat-17.smt2
    cvc5 is 100× faster (cvc5=146ms, ostrich=14668ms)
  [cJSON/mixed/unsat]  symcc-unsat-17.smt2
    cvc5 is 361× faster (cvc5=146ms, noodler=52706ms)
  [cJSON/mixed/unsat]  symcc-unsat-17.smt2
    z3 is 22× faster (ostrich=14668ms, z3=671ms)
  [cJSON/mixed/unsat]  symcc-unsat-17.smt2
    z3 is 79× faster (z3=671ms, noodler=52706ms)
  [cJSON/mixed/unsat]  symcc-unsat-18.smt2
    cvc5 is 106× faster (cvc5=140ms, ostrich=14893ms)
  [cJSON/mixed/unsat]  symcc-unsat-18.smt2
    cvc5 is 10× faster (cvc5=140ms, z3=1452ms)
  [cJSON/mixed/unsat]  symcc-unsat-18.smt2
    z3 is 10× faster (ostrich=14893ms, z3=1452ms)
  [cJSON/mixed/unsat]  symcc-unsat-19.smt2
    cvc5 is 141× faster (cvc5=140ms, ostrich=19719ms)
  [cJSON/mixed/unsat]  symcc-unsat-19.smt2
    z3 is 24× faster (ostrich=19719ms, z3=837ms)
  [cJSON/mixed/unsat]  symcc-unsat-2.smt2
    cvc5 is 115× faster (cvc5=77ms, ostrich=8840ms)
  [cJSON/mixed/unsat]  symcc-unsat-2.smt2
    z3 is 99× faster (ostrich=8840ms, z3=89ms)
  [cJSON/mixed/unsat]  symcc-unsat-2.smt2
    noodler is 55× faster (ostrich=8840ms, noodler=161ms)
  [cJSON/mixed/unsat]  symcc-unsat-20.smt2
    cvc5 is 95× faster (cvc5=140ms, ostrich=13363ms)
  [cJSON/mixed/unsat]  symcc-unsat-20.smt2
    z3 is 16× faster (ostrich=13363ms, z3=838ms)
  [cJSON/mixed/unsat]  symcc-unsat-21.smt2
    cvc5 is 83× faster (cvc5=170ms, ostrich=14156ms)
  [cJSON/mixed/unsat]  symcc-unsat-22.smt2
    cvc5 is 74× faster (cvc5=172ms, ostrich=12768ms)
  [cJSON/mixed/unsat]  symcc-unsat-23.smt2
    cvc5 is 66× faster (cvc5=160ms, ostrich=10610ms)
  [cJSON/mixed/unsat]  symcc-unsat-24.smt2
    cvc5 is 117× faster (cvc5=173ms, ostrich=20268ms)
  [cJSON/mixed/unsat]  symcc-unsat-24.smt2
    cvc5 is 11× faster (cvc5=173ms, z3=1885ms)
  [cJSON/mixed/unsat]  symcc-unsat-24.smt2
    z3 is 11× faster (ostrich=20268ms, z3=1885ms)
  [cJSON/mixed/unsat]  symcc-unsat-25.smt2
    cvc5 is 107× faster (cvc5=174ms, ostrich=18640ms)
  [cJSON/mixed/unsat]  symcc-unsat-25.smt2
    z3 is 11× faster (ostrich=18640ms, z3=1665ms)
  [cJSON/mixed/unsat]  symcc-unsat-26.smt2
    cvc5 is 102× faster (cvc5=182ms, ostrich=18522ms)
  [cJSON/mixed/unsat]  symcc-unsat-26.smt2
    z3 is 11× faster (ostrich=18522ms, z3=1712ms)
  [cJSON/mixed/unsat]  symcc-unsat-27.smt2
    cvc5 is 103× faster (cvc5=179ms, ostrich=18356ms)
  [cJSON/mixed/unsat]  symcc-unsat-27.smt2
    z3 is 11× faster (ostrich=18356ms, z3=1674ms)
  [cJSON/mixed/unsat]  symcc-unsat-28.smt2
    cvc5 is 58× faster (cvc5=179ms, ostrich=10408ms)
  [cJSON/mixed/unsat]  symcc-unsat-29.smt2
    cvc5 is 75× faster (cvc5=185ms, ostrich=13831ms)
  [cJSON/mixed/unsat]  symcc-unsat-29.smt2
    cvc5 is 11× faster (cvc5=185ms, z3=1999ms)
  [cJSON/mixed/unsat]  symcc-unsat-3.smt2
    cvc5 is 137× faster (cvc5=84ms, ostrich=11521ms)
  [cJSON/mixed/unsat]  symcc-unsat-3.smt2
    z3 is 195× faster (ostrich=11521ms, z3=59ms)
  [cJSON/mixed/unsat]  symcc-unsat-3.smt2
    noodler is 23× faster (ostrich=11521ms, noodler=508ms)
  [cJSON/mixed/unsat]  symcc-unsat-30.smt2
    cvc5 is 75× faster (cvc5=191ms, ostrich=14401ms)
  [cJSON/mixed/unsat]  symcc-unsat-31.smt2
    cvc5 is 87× faster (cvc5=208ms, ostrich=18017ms)
  [cJSON/mixed/unsat]  symcc-unsat-31.smt2
    cvc5 is 24× faster (cvc5=208ms, z3=4956ms)
  [cJSON/mixed/unsat]  symcc-unsat-32.smt2
    cvc5 is 92× faster (cvc5=217ms, ostrich=19882ms)
  [cJSON/mixed/unsat]  symcc-unsat-32.smt2
    cvc5 is 23× faster (cvc5=217ms, z3=4971ms)
  [cJSON/mixed/unsat]  symcc-unsat-33.smt2
    cvc5 is 62× faster (cvc5=191ms, ostrich=11764ms)
  [cJSON/mixed/unsat]  symcc-unsat-33.smt2
    cvc5 is 12× faster (cvc5=191ms, z3=2343ms)
  [cJSON/mixed/unsat]  symcc-unsat-34.smt2
    cvc5 is 49× faster (cvc5=284ms, ostrich=13965ms)
  [cJSON/mixed/unsat]  symcc-unsat-35.smt2
    cvc5 is 101× faster (cvc5=195ms, ostrich=19642ms)
  [cJSON/mixed/unsat]  symcc-unsat-35.smt2
    z3 is 10× faster (ostrich=19642ms, z3=1936ms)
  [cJSON/mixed/unsat]  symcc-unsat-36.smt2
    cvc5 is 131× faster (cvc5=238ms, ostrich=31248ms)
  [cJSON/mixed/unsat]  symcc-unsat-36.smt2
    cvc5 is 401× faster (cvc5=238ms, z3=95421ms)
  [cJSON/mixed/unsat]  symcc-unsat-37.smt2
    cvc5 is 113× faster (cvc5=194ms, ostrich=21928ms)
  [cJSON/mixed/unsat]  symcc-unsat-37.smt2
    cvc5 is 10× faster (cvc5=194ms, z3=1967ms)
  [cJSON/mixed/unsat]  symcc-unsat-37.smt2
    z3 is 11× faster (ostrich=21928ms, z3=1967ms)
  [cJSON/mixed/unsat]  symcc-unsat-38.smt2
    cvc5 is 128× faster (cvc5=201ms, ostrich=25761ms)
  [cJSON/mixed/unsat]  symcc-unsat-38.smt2
    cvc5 is 10× faster (cvc5=201ms, z3=2039ms)
  [cJSON/mixed/unsat]  symcc-unsat-38.smt2
    z3 is 13× faster (ostrich=25761ms, z3=2039ms)
  [cJSON/mixed/unsat]  symcc-unsat-39.smt2
    cvc5 is 82× faster (cvc5=216ms, ostrich=17789ms)
  [cJSON/mixed/unsat]  symcc-unsat-39.smt2
    cvc5 is 10× faster (cvc5=216ms, z3=2199ms)
  [cJSON/mixed/unsat]  symcc-unsat-4.smt2
    cvc5 is 185× faster (cvc5=88ms, ostrich=16311ms)
  [cJSON/mixed/unsat]  symcc-unsat-4.smt2
    z3 is 163× faster (ostrich=16311ms, z3=100ms)
  [cJSON/mixed/unsat]  symcc-unsat-4.smt2
    noodler is 36× faster (ostrich=16311ms, noodler=453ms)
  [cJSON/mixed/unsat]  symcc-unsat-40.smt2
    cvc5 is 105× faster (cvc5=200ms, ostrich=21042ms)
  [cJSON/mixed/unsat]  symcc-unsat-40.smt2
    cvc5 is 11× faster (cvc5=200ms, z3=2114ms)
  [cJSON/mixed/unsat]  symcc-unsat-41.smt2
    cvc5 is 118× faster (cvc5=191ms, ostrich=22517ms)
  [cJSON/mixed/unsat]  symcc-unsat-41.smt2
    cvc5 is 13× faster (cvc5=191ms, z3=2413ms)
  [cJSON/mixed/unsat]  symcc-unsat-42.smt2
    cvc5 is 127× faster (cvc5=192ms, ostrich=24347ms)
  [cJSON/mixed/unsat]  symcc-unsat-42.smt2
    cvc5 is 13× faster (cvc5=192ms, z3=2425ms)
  [cJSON/mixed/unsat]  symcc-unsat-42.smt2
    z3 is 10× faster (ostrich=24347ms, z3=2425ms)
  [cJSON/mixed/unsat]  symcc-unsat-5.smt2
    cvc5 is 248× faster (cvc5=95ms, ostrich=23600ms)
  [cJSON/mixed/unsat]  symcc-unsat-5.smt2
    z3 is 152× faster (ostrich=23600ms, z3=155ms)
  [cJSON/mixed/unsat]  symcc-unsat-5.smt2
    noodler is 31× faster (ostrich=23600ms, noodler=756ms)
  [cJSON/mixed/unsat]  symcc-unsat-6.smt2
    cvc5 is 244× faster (cvc5=95ms, ostrich=23221ms)
  [cJSON/mixed/unsat]  symcc-unsat-6.smt2
    z3 is 150× faster (ostrich=23221ms, z3=155ms)
  [cJSON/mixed/unsat]  symcc-unsat-6.smt2
    noodler is 29× faster (ostrich=23221ms, noodler=801ms)
  [cJSON/mixed/unsat]  symcc-unsat-7.smt2
    cvc5 is 250× faster (cvc5=98ms, ostrich=24498ms)
  [cJSON/mixed/unsat]  symcc-unsat-7.smt2
    cvc5 is 11× faster (cvc5=98ms, noodler=1033ms)
  [cJSON/mixed/unsat]  symcc-unsat-7.smt2
    z3 is 142× faster (ostrich=24498ms, z3=172ms)
  [cJSON/mixed/unsat]  symcc-unsat-7.smt2
    noodler is 24× faster (ostrich=24498ms, noodler=1033ms)
  [cJSON/mixed/unsat]  symcc-unsat-8.smt2
    cvc5 is 180× faster (cvc5=226ms, ostrich=40640ms)
  [cJSON/mixed/unsat]  symcc-unsat-8.smt2
    cvc5 is 604× faster (cvc5=226ms, noodler=136599ms)
  [cJSON/mixed/unsat]  symcc-unsat-8.smt2
    z3 is 106× faster (ostrich=40640ms, z3=382ms)
  [cJSON/mixed/unsat]  symcc-unsat-8.smt2
    z3 is 358× faster (z3=382ms, noodler=136599ms)
  [cJSON/mixed/unsat]  symcc-unsat-9.smt2
    cvc5 is 125× faster (cvc5=220ms, ostrich=27450ms)
  [cJSON/mixed/unsat]  symcc-unsat-9.smt2
    z3 is 70× faster (ostrich=27450ms, z3=393ms)
  [cJSON/string_only/sat]  symcc-assertions-0.smt2
    cvc5 is 75× faster (cvc5=70ms, ostrich=5246ms)
  [cJSON/string_only/sat]  symcc-assertions-0.smt2
    z3 is 138× faster (ostrich=5246ms, z3=38ms)
  [cJSON/string_only/sat]  symcc-assertions-0.smt2
    noodler is 29× faster (ostrich=5246ms, noodler=182ms)
  [cJSON/string_only/sat]  symcc-assertions-1.smt2
    cvc5 is 61× faster (cvc5=77ms, ostrich=4716ms)
  [cJSON/string_only/sat]  symcc-assertions-1.smt2
    z3 is 51× faster (ostrich=4716ms, z3=93ms)
  [cJSON/string_only/sat]  symcc-assertions-1.smt2
    noodler is 28× faster (ostrich=4716ms, noodler=166ms)
  [cJSON/string_only/sat]  symcc-assertions-10.smt2
    cvc5 is 40× faster (cvc5=68ms, ostrich=2740ms)
  [cJSON/string_only/sat]  symcc-assertions-10.smt2
    z3 is 228× faster (ostrich=2740ms, z3=12ms)
  [cJSON/string_only/sat]  symcc-assertions-10.smt2
    noodler is 18× faster (ostrich=2740ms, noodler=154ms)
  [cJSON/string_only/sat]  symcc-assertions-10.smt2
    z3 is 13× faster (z3=12ms, noodler=154ms)
  [cJSON/string_only/sat]  symcc-assertions-11.smt2
